w_drop:E: Re(E) vs lambda, x=-9e-06(m), y=-4.8e-06(m), z=0(m) 

lambda(microns), Re(E)
1.56624, 1.46337e+006
1.56587, 1.49195e+006
1.56551, 1.70036e+006
1.56514, 1.92706e+006
1.56478, 2.06791e+006
1.56441, 2.24643e+006
1.56405, 2.58257e+006
1.56369, 2.94303e+006
1.56332, 3.13524e+006
1.56296, 3.17167e+006
1.5626, 3.24843e+006
1.56223, 3.44263e+006
1.56187, 3.57736e+006
1.56151, 3.52281e+006
1.56115, 3.43922e+006
1.56078, 3.58085e+006
1.56042, 3.85429e+006
1.56006, 3.94992e+006
1.5597, 3.83263e+006
1.55934, 3.83732e+006
1.55897, 4.15287e+006
1.55861, 4.42451e+006
1.55825, 4.27598e+006
1.55789, 3.85389e+006
1.55753, 3.79975e+006
1.55717, 4.25755e+006
1.55681, 4.45726e+006
1.55645, 3.75473e+006
1.55609, 2.12454e+006
1.55573, 1.02398e+006
1.55537, 2.77117e+006
1.55501, 4.12642e+006
1.55465, 4.40054e+006
1.55429, 3.78081e+006
1.55393, 3.15022e+006
1.55357, 3.40209e+006
1.55321, 3.97059e+006
1.55286, 4.09345e+006
1.5525, 3.90048e+006
1.55214, 4.07995e+006
1.55178, 4.74656e+006
1.55142, 5.20749e+006
1.55107, 4.92802e+006
1.55071, 3.86282e+006
1.55035, 2.35203e+006
1.54999, 985118
1.54964, 870868
1.54928, 1.38912e+006
1.54892, 1.70195e+006
1.54857, 1.92452e+006
1.54821, 2.08478e+006
1.54785, 2.12652e+006
1.5475, 2.1169e+006
1.54714, 2.19111e+006
1.54678, 2.32036e+006
1.54643, 2.37069e+006
1.54607, 2.34987e+006
1.54572, 2.40666e+006
1.54536, 2.57077e+006
1.54501, 2.68959e+006
1.54465, 2.68487e+006
1.5443, 2.66995e+006
1.54394, 2.75835e+006
1.54359, 2.85424e+006
1.54324, 2.80711e+006
1.54288, 2.65095e+006
1.54253, 2.56115e+006
1.54217, 2.5723e+006
1.54182, 2.55136e+006
1.54147, 2.55898e+006
1.54111, 2.92537e+006
1.54076, 3.69519e+006
1.54041, 4.52018e+006
1.54006, 5.15076e+006
1.5397, 5.59928e+006
1.53935, 5.97555e+006
1.539, 6.25357e+006
1.53865, 6.28999e+006
1.53829, 6.07193e+006
1.53794, 5.83697e+006
1.53759, 5.82108e+006
1.53724, 5.90966e+006
1.53689, 5.82826e+006
1.53654, 5.60755e+006
1.53619, 5.60419e+006
1.53584, 5.92725e+006
1.53548, 6.17504e+006
1.53513, 6.04382e+006
1.53478, 5.83149e+006
1.53443, 6.1131e+006
1.53408, 6.69959e+006
1.53373, 6.6881e+006
1.53338, 5.41601e+006
1.53303, 2.869e+006
1.53269, 752682
1.53234, 3.72095e+006
1.53199, 5.91493e+006
1.53164, 6.72691e+006
1.53129, 6.35995e+006
1.53094, 5.65853e+006


